Name,Raw count,Avg. weight,Viability Ceiling,Abilities,Items,Spreads,Moves,Teammates,Checks and Counters
Kartana, 408117                      , 0.00315171765341          , 90                  ,['Beast Boost 100.000%'],"['Choice Scarf 41.753%', 'Choice Band 33.320%', 'Life Orb 19.018%', 'Lum Berry  1.146%', 'Other  4.762%']","['Jolly:0/252/0/0/4/252 79.077%', 'Jolly:4/252/0/0/0/252  5.642%', 'Jolly:0/252/4/0/0/252  4.928%', 'Adamant:0/252/0/0/4/252  2.431%', 'Jolly:8/248/0/0/0/252  1.491%', 'Adamant:32/252/0/0/0/224  0.909%', 'Other  5.522%']","['Leaf Blade 99.765%', 'Knock Off 96.584%', 'Sacred Sword 90.739%', 'Smart Strike 70.249%', 'Swords Dance 23.581%', 'Other 19.082%']","['Heatran +13.912%', 'Landorus-Therian +10.248%', 'Magnezone +9.671%', 'Rillaboom +9.033%', 'Dragonite +6.467%', 'Blacephalon +4.356%', 'Tapu Fini +4.233%', 'Swampert +4.179%', 'Mandibuzz +3.727%', 'Tapu Lele +3.600%', 'Slowking-Galar +3.274%', 'Moltres +2.226%']",[]
Tapu, 288450                      , 0.00442018784397          , 93                  ,"['Psychic Surge 99.963%', 'Telepathy  0.037%']","['Choice Specs 39.263%', 'Leftovers 21.746%', 'Choice Scarf 14.031%', 'Heavy-Duty Boots 10.637%', 'Twisted Spoon  6.803%', 'Assault Vest  2.514%', 'Life Orb  2.390%', 'Other  2.616%']","['Timid:0/0/0/252/4/252 55.039%', 'Modest:0/0/0/252/4/252 12.839%', 'Modest:200/0/0/252/0/56  8.972%', 'Modest:0/0/0/252/20/236  6.751%', 'Modest:44/0/0/252/0/212  3.199%', 'Modest:0/0/0/252/212/44  3.128%', 'Other 10.072%']","['Moonblast 97.702%', 'Psyshock 92.946%', 'Focus Blast 91.204%', 'Psychic 51.632%', 'Calm Mind 31.310%', 'Thunderbolt 14.406%', 'Thunder 13.875%', 'Other  6.924%']","['Blissey +17.548%', 'Melmetal +10.813%', 'Dragapult +10.783%', 'Garchomp +9.351%', 'Corviknight +8.925%', 'Urshifu-Rapid-Strike +6.820%', 'Mandibuzz +6.415%', 'Ferrothorn +4.940%', 'Kartana +3.563%', 'Nidoking +3.462%', 'Seismitoad +2.115%', 'Tangrowth +2.030%']",[]
Mandibuzz, 247986                      , 0.00500174332549          , 90                  ,"['Overcoat 98.703%', 'Big Pecks  1.221%', 'Weak Armor  0.076%']","['Heavy-Duty Boots 98.931%', 'Other  1.069%']","['Impish:248/0/252/0/8/0 20.871%', 'Impish:252/0/208/0/0/48  9.429%', 'Impish:248/0/92/0/152/16  5.350%', 'Impish:248/0/136/0/108/16  4.518%', 'Impish:248/0/60/0/144/56  4.303%', 'Impish:248/0/116/0/144/0  3.870%', 'Other 51.658%']","['Roost 99.888%', 'Defog 98.881%', 'Foul Play 84.124%', 'U-turn 74.562%', 'Knock Off 20.674%', 'Toxic 17.764%', 'Other  4.107%']","['Zeraora +14.997%', 'Swampert +14.985%', 'Magnezone +11.631%', 'Toxapex +9.007%', 'Ninetales-Alola +8.871%', 'Sandslash-Alola +8.047%', 'Chansey +6.782%', 'Tapu Lele +6.700%', 'Tapu Koko +4.243%', 'Kartana +3.899%', 'Slowking-Galar +3.890%', 'Slowbro +3.674%']",[]
Blissey, 266547                      , 0.00441994710879          , 93                  ,"['Natural Cure 99.419%', 'Serene Grace  0.515%', 'Healer  0.066%']","['Heavy-Duty Boots 88.174%', 'Leftovers 11.187%', 'Other  0.639%']","['Bold:252/0/252/0/4/0 55.857%', 'Bold:252/0/200/0/56/0 10.331%', 'Bold:248/0/252/0/8/0  4.633%', 'Bold:144/0/252/0/112/0  3.841%', 'Bold:4/0/252/0/252/0  3.337%', 'Bold:92/0/252/0/164/0  2.935%', 'Other 19.066%']","['Soft-Boiled 98.817%', 'Seismic Toss 89.781%', 'Teleport 55.085%', 'Thunder Wave 43.413%', 'Toxic 29.606%', 'Stealth Rock 26.786%', 'Wish 17.207%', 'Aromatherapy 15.515%', 'Heal Bell 11.456%', 'Other 12.334%']","['Corviknight +37.510%', 'Tapu Lele +18.716%', 'Garchomp +18.507%', 'Toxapex +17.193%', 'Dragapult +13.791%', 'Melmetal +11.621%', 'Ditto +8.351%', 'Tangrowth +6.725%', 'Shedinja +6.585%', 'Heracross +5.863%', 'Starmie +5.354%', 'Quagsire +5.314%']",[]
Tapu, 429874                      , 0.00266862712329          , 89                  ,"['Electric Surge 99.879%', 'Telepathy  0.121%']","['Heavy-Duty Boots 76.007%', 'Choice Specs  9.837%', 'Light Clay  5.564%', 'Terrain Extender  3.242%', 'Expert Belt  1.422%', 'Other  3.928%']","['Timid:0/0/0/252/4/252 80.144%', 'Timid:0/0/4/252/0/252  5.942%', 'Jolly:248/0/0/0/8/252  2.875%', 'Timid:248/0/0/8/0/252  1.342%', 'Modest:0/0/0/252/4/252  0.993%', 'Timid:0/4/0/252/0/252  0.960%', 'Other  7.744%']","['Dazzling Gleam 91.345%', 'Thunderbolt 86.411%', 'U-turn 83.676%', 'Roost 77.042%', 'Volt Switch 16.107%', 'Grass Knot 13.593%', 'Taunt  7.935%', 'Light Screen  5.709%', 'Other 18.182%']","['Landorus-Therian +9.884%', 'Slowking +8.738%', 'Dragonite +8.592%', 'Hippowdon +6.564%', 'Bisharp +5.830%', 'Urshifu-Rapid-Strike +5.602%', 'Skarmory +5.031%', 'Reuniclus +4.722%', 'Mandibuzz +4.613%', 'Slowking-Galar +3.036%', 'Ferrothorn +3.036%', 'Raichu-Alola +2.822%']",[]
Zapdos, 302466                      , 0.00365787303015          , 89                  ,"['Static 87.195%', 'Pressure 12.805%']","['Heavy-Duty Boots 94.017%', 'Leftovers  3.555%', 'Other  2.428%']","['Timid:248/0/220/0/0/40 14.110%', 'Bold:248/0/244/0/0/16 13.863%', 'Timid:0/0/4/252/0/252  8.171%', 'Bold:248/0/240/0/0/20  5.911%', 'Timid:0/0/0/252/4/252  3.815%', 'Bold:248/0/252/0/8/0  3.589%', 'Other 50.542%']","['Roost 96.289%', 'Defog 78.319%', 'Heat Wave 54.409%', 'Hurricane 48.467%', 'Volt Switch 48.060%', 'Discharge 37.131%', 'Thunderbolt 10.244%', 'Thunder  6.869%', 'Weather Ball  6.348%', 'Other 13.865%']","['Clefable +28.107%', 'Tyranitar +11.895%', 'Ferrothorn +9.374%', 'Excadrill +8.554%', 'Dragapult +8.005%', 'Tapu Fini +5.471%', 'Weavile +5.082%', 'Slowbro +4.735%', 'Urshifu-Rapid-Strike +4.440%', 'Garchomp +4.361%', 'Pelipper +3.960%', 'Barraskewda +2.973%']",[]
Slowking-Galar, 259788                      , 0.00407992664975          , 90                  ,"['Regenerator 99.953%', 'Curious Medicine  0.044%', 'Own Tempo  0.003%']","['Assault Vest 91.605%', 'Black Sludge  3.273%', 'Weakness Policy  2.037%', 'Other  3.085%']","['Modest:252/0/0/252/4/0 12.893%', 'Quiet:252/0/0/4/252/0 10.855%', 'Calm:252/0/0/176/80/0 10.614%', 'Sassy:252/0/0/4/252/0  4.913%', 'Modest:252/0/0/176/80/0  3.912%', 'Quiet:248/0/0/132/128/0  3.821%', 'Other 52.992%']","['Sludge Bomb 95.154%', 'Future Sight 79.200%', 'Flamethrower 70.438%', 'Scald 43.005%', 'Earthquake 37.934%', 'Psychic 15.222%', 'Psyshock 10.973%', 'Ice Beam 10.167%', 'Power Gem  8.092%', 'Whirlpool  7.063%', 'Fire Blast  3.035%', 'Other 19.717%']","['Landorus-Therian +15.271%', 'Urshifu-Rapid-Strike +15.085%', 'Slowbro +10.659%', 'Weavile +8.000%', 'Corviknight +7.452%', 'Tangrowth +7.372%', 'Ferrothorn +6.544%', 'Chansey +5.885%', 'Keldeo +5.291%', 'Tapu Fini +4.905%', 'Mandibuzz +4.574%', 'Kartana +4.032%']",[]
Tornadus-Therian, 215326                      , 0.00496072419663          , 90                  ,['Regenerator 100.000%'],"['Heavy-Duty Boots 93.786%', 'Rocky Helmet  2.870%', 'Other  3.344%']","['Timid:252/0/0/4/0/252 12.681%', 'Timid:252/0/4/0/0/252 12.653%', 'Timid:0/0/0/252/4/252  9.245%', 'Timid:0/0/4/252/0/252  7.595%', 'Timid:252/0/88/0/0/168  5.927%', 'Timid:156/0/0/100/0/252  3.596%', 'Other 48.303%']","['Hurricane 95.672%', 'Knock Off 71.050%', 'Defog 65.557%', 'U-turn 64.044%', 'Nasty Plot 30.397%', 'Focus Blast 23.657%', 'Heat Wave 17.771%', 'Taunt 12.563%', 'Other 19.289%']","['Pelipper +9.775%', 'Clefable +8.964%', 'Hippowdon +8.962%', 'Barraskewda +8.831%', 'Crawdaunt +7.799%', 'Thundurus-Therian +7.100%', 'Excadrill +6.309%', 'Tyranitar +5.865%', 'Kyurem +5.839%', 'Amoonguss +4.217%', 'Scizor +3.889%', 'Dracozolt +3.878%']",[]
Urshifu-Rapid-Strike, 370347                      , 0.00283119855391          , 90                  ,['Unseen Fist 100.000%'],"['Choice Band 72.879%', 'Protective Pads 16.278%', 'Choice Scarf  7.499%', 'Other  3.344%']","['Jolly:0/252/0/0/4/252 62.358%', 'Jolly:0/252/4/0/0/252 12.409%', 'Adamant:0/252/0/0/4/252 11.328%', 'Jolly:4/252/0/0/0/252  8.639%', 'Adamant:0/252/4/0/0/252  1.358%', 'Other  3.908%']","['Surging Strikes 99.670%', 'Close Combat 97.890%', 'U-turn 87.925%', 'Aqua Jet 84.628%', 'Thunder Punch  9.921%', 'Other 19.966%']","['Ferrothorn +22.249%', 'Slowking-Galar +15.294%', 'Landorus-Therian +12.124%', 'Pelipper +11.436%', 'Tapu Lele +8.385%', 'Barraskewda +7.835%', 'Thundurus-Therian +6.713%', 'Tapu Koko +6.057%', 'Zapdos +4.706%', 'Nidoking +4.576%', 'Kartana +2.614%', 'Moltres +2.377%']",[]
Volcarona, 380267                      , 0.00269349199917          , 90                  ,"['Flame Body 88.155%', 'Swarm 11.845%']","['Heavy-Duty Boots 98.109%', 'Other  1.891%']","['Timid:0/0/4/252/0/252 22.270%', 'Timid:0/0/0/252/4/252 17.963%', 'Bold:248/0/148/0/0/112 11.990%', 'Bold:248/0/200/0/0/60  9.599%', 'Modest:0/0/0/252/4/252  9.414%', 'Timid:248/0/8/0/0/252  4.525%', 'Other 24.240%']","['Quiver Dance 97.225%', 'Psychic 79.390%', 'Flamethrower 68.923%', 'Bug Buzz 56.379%', 'Roost 42.657%', 'Fire Blast 16.053%', 'Fiery Dance 14.901%', 'Giga Drain 13.250%', 'Other 11.224%']","['Bisharp +23.789%', 'Mew +19.595%', 'Cloyster +18.457%', 'Garchomp +15.646%', 'Tapu Fini +15.432%', 'Regieleki +14.360%', 'Dragapult +11.825%', 'Ferrothorn +9.428%', 'Kyurem +7.966%', 'Landorus-Therian +6.144%', 'Zapdos-Galar +6.053%', 'Weavile +5.162%']",[]
Tapu, 266626                      , 0.00379146676064          , 88                  ,"['Misty Surge 99.919%', 'Telepathy  0.081%']","['Leftovers 69.355%', 'Choice Scarf 29.307%', 'Other  1.338%']","['Timid:0/0/0/252/4/252 26.581%', 'Bold:248/0/192/0/0/68 13.000%', 'Bold:252/0/200/0/0/56  9.761%', 'Bold:252/0/252/0/4/0  6.800%', 'Bold:252/0/192/0/0/64  5.201%', 'Bold:248/0/164/0/0/96  4.151%', 'Other 34.505%']","['Taunt 63.948%', 'Surf 59.732%', 'Calm Mind 53.228%', 'Draining Kiss 52.181%', 'Moonblast 47.132%', 'Defog 30.858%', 'Trick 29.210%', 'Scald 21.723%', ""Nature's Madness 11.665%"", 'Hydro Pump 11.556%', 'Other 18.766%']","['Landorus-Therian +17.048%', 'Kyurem +17.024%', 'Volcarona +15.891%', 'Ferrothorn +13.665%', 'Regieleki +13.662%', 'Magnezone +7.960%', 'Weavile +6.647%', 'Zapdos +6.220%', 'Heatran +6.159%', 'Kartana +5.601%', 'Stunfisk +5.319%', 'Slowking-Galar +5.290%']",[]
Bisharp, 155171                      , 0.00624495484649          , 88                  ,"['Defiant 99.579%', 'Inner Focus  0.367%', 'Pressure  0.054%']","['Life Orb 40.607%', 'Choice Band 29.411%', 'Black Glasses 21.484%', 'Assault Vest  4.619%', 'Other  3.880%']","['Adamant:0/252/4/0/0/252 38.681%', 'Adamant:0/252/0/0/4/252 37.819%', 'Adamant:4/252/0/0/0/252  6.741%', 'Jolly:0/252/0/0/4/252  5.104%', 'Adamant:8/236/0/0/80/184  3.475%', 'Adamant:64/252/0/0/0/192  2.497%', 'Other  5.682%']","['Iron Head 99.921%', 'Knock Off 99.910%', 'Sucker Punch 98.582%', 'Swords Dance 65.966%', 'Assurance 19.129%', 'Other 16.492%']","['Dragapult +28.922%', 'Volcarona +24.863%', 'Cloyster +21.781%', 'Mew +17.200%', 'Slowking +15.732%', 'Landorus-Therian +14.404%', 'Garchomp +10.106%', 'Zapdos-Galar +9.772%', 'Rillaboom +7.119%', 'Dragonite +6.936%', 'Tapu Koko +6.827%', 'Primarina +3.056%']",[]
Magnezone, 131225                      , 0.00726108590411          , 89                  ,"['Magnet Pull 98.288%', 'Analytic  1.230%', 'Sturdy  0.482%']","['Leftovers 74.169%', 'Choice Specs 19.273%', 'Choice Scarf  1.582%', 'Other  4.975%']","['Bold:40/0/252/0/0/216 40.381%', 'Modest:0/0/4/252/0/252  5.493%', 'Bold:160/0/252/0/0/96  4.979%', 'Bold:0/0/252/116/0/140  4.588%', 'Bold:192/0/252/4/0/60  3.544%', 'Bold:164/0/252/0/0/92  3.373%', 'Other 37.643%']","['Body Press 78.738%', 'Iron Defense 77.048%', 'Substitute 50.100%', 'Thunderbolt 48.198%', 'Discharge 46.861%', 'Flash Cannon 34.309%', 'Volt Switch 23.142%', 'Toxic 17.218%', 'Rising Voltage  6.373%', 'Other 18.012%']","['Dragonite +21.286%', 'Swampert +21.025%', 'Mandibuzz +15.016%', 'Kartana +13.006%', 'Ninetales-Alola +12.943%', 'Sandslash-Alola +10.863%', 'Tapu Fini +8.153%', 'Sylveon +6.239%', 'Dragapult +5.552%', 'Arctozolt +3.292%', 'Mamoswine +2.961%', 'Latios +2.448%']",[]
Zeraora, 182431                      , 0.00506283527555          , 90                  ,['Volt Absorb 100.000%'],"['Heavy-Duty Boots 58.435%', 'Leftovers 14.477%', 'Assault Vest 12.988%', 'Expert Belt  5.417%', 'Weakness Policy  3.477%', 'Life Orb  2.806%', 'Other  2.399%']","['Jolly:0/252/0/0/4/252 54.954%', 'Jolly:0/252/4/0/0/252 14.999%', 'Calm:232/0/0/0/248/28 12.936%', 'Jolly:4/252/0/0/0/252  6.445%', 'Naive:0/252/0/0/4/252  4.132%', 'Adamant:0/252/8/0/0/248  0.913%', 'Other  5.621%']","['Knock Off 97.397%', 'Plasma Fists 85.723%', 'Close Combat 77.757%', 'Volt Switch 37.078%', 'Bulk Up 34.604%', 'Blaze Kick 17.879%', 'Grass Knot 15.184%', 'Thunderbolt 13.969%', 'Toxic  7.192%', 'Other 13.218%']","['Mandibuzz +20.042%', 'Heatran +15.881%', 'Skarmory +13.420%', 'Rillaboom +12.467%', 'Chansey +8.565%', 'Toxapex +5.980%', 'Clefable +5.967%', 'Slowking +5.819%', 'Kyurem +4.068%', 'Kommo-o +3.468%', 'Tapu Lele +2.925%', 'Gastrodon +2.920%']",[]
