null,Rank,Pokemon,Usage%,Raw,Raw%,Real,Real%
 ,77.0, Swirlix            ,  0.04132% ,129.0,  1.306% ,116.0,  1.488% 
 ,78.0, Mudbray            ,  0.03173% ,18.0,  0.182% ,13.0,  0.167% 
 ,79.0, Brionne            ,  0.03081% ,340.0,  3.443% ,256.0,  3.283% 
 ,80.0, Vibrava            ,  0.03073% ,60.0,  0.608% ,44.0,  0.564% 
 ,81.0, Nidorino           ,  0.03053% ,40.0,  0.405% ,28.0,  0.359% 
 ,82.0, Mienfoo            ,  0.02841% ,26.0,  0.263% ,20.0,  0.256% 
 ,83.0, Trubbish           ,  0.02271% ,19.0,  0.192% ,19.0,  0.244% 
 ,84.0, Luxio              ,  0.01902% ,87.0,  0.881% ,65.0,  0.834% 
 ,85.0, Abra               ,  0.01810% ,68.0,  0.689% ,55.0,  0.705% 
 ,86.0, Helioptile         ,  0.01546% ,13.0,  0.132% ,7.0,  0.090% 
 ,87.0, Whirlipede         ,  0.01545% ,185.0,  1.874% ,147.0,  1.885% 
 ,88.0, Amaura             ,  0.01537% ,71.0,  0.719% ,52.0,  0.667% 
 ,89.0, Bunnelby           ,  0.01514% ,27.0,  0.273% ,24.0,  0.308% 
 ,90.0, Fletchinder        ,  0.01338% ,170.0,  1.722% ,144.0,  1.847% 
 ,91.0, Boldore            ,  0.01226% ,302.0,  3.059% ,251.0,  3.219% 
 ,92.0, Ralts              ,  0.01158% ,45.0,  0.456% ,33.0,  0.423% 
 ,93.0, Cubone             ,  0.01157% ,10.0,  0.101% ,7.0,  0.090% 
 ,94.0, Omanyte            ,  0.01055% ,20.0,  0.203% ,15.0,  0.192% 
 ,95.0, Lickitung          ,  0.01014% ,19.0,  0.192% ,9.0,  0.115% 
 ,96.0, Sliggoo            ,  0.00899% ,145.0,  1.469% ,111.0,  1.423% 
 ,97.0, Cherubi            ,  0.00811% ,35.0,  0.354% ,30.0,  0.385% 
 ,98.0, Tyrunt             ,  0.00790% ,23.0,  0.233% ,15.0,  0.192% 
 ,99.0, Shellos            ,  0.00787% ,29.0,  0.294% ,14.0,  0.180% 
 ,100.0, Woobat             ,  0.00623% ,119.0,  1.205% ,81.0,  1.039% 
 ,101.0, Metapod            ,  0.00576% ,32.0,  0.324% ,29.0,  0.372% 
 ,102.0, Pupitar            ,  0.00487% ,50.0,  0.506% ,41.0,  0.526% 
 ,103.0, Jigglypuff         ,  0.00316% ,65.0,  0.658% ,55.0,  0.705% 
 ,104.0, Drifloon           ,  0.00244% ,58.0,  0.587% ,44.0,  0.564% 
 ,105.0, Gloom              ,  0.00224% ,40.0,  0.405% ,31.0,  0.398% 
 ,106.0, Mantyke            ,  0.00196% ,34.0,  0.344% ,22.0,  0.282% 
 ,107.0, Slowpoke-Galar     ,  0.00172% ,3.0,  0.030% ,3.0,  0.038% 
 ,108.0, Lileep             ,  0.00145% ,54.0,  0.547% ,45.0,  0.577% 
 ,109.0, Natu               ,  0.00124% ,16.0,  0.162% ,13.0,  0.167% 
 ,110.0, Tentacool          ,  0.00112% ,14.0,  0.142% ,13.0,  0.167% 
 ,111.0, Croagunk           ,  0.00085% ,29.0,  0.294% ,22.0,  0.282% 
 ,112.0, Elekid             ,  0.00067% ,23.0,  0.233% ,20.0,  0.256% 
 ,113.0, Frillish           ,  0.00067% ,32.0,  0.324% ,23.0,  0.295% 
 ,114.0, Poliwhirl          ,  0.00048% ,71.0,  0.719% ,57.0,  0.731% 
 ,115.0, Aron               ,  0.00042% ,33.0,  0.334% ,27.0,  0.346% 
 ,116.0, Scraggy            ,  0.00034% ,36.0,  0.365% ,26.0,  0.333% 
 ,117.0, Vulpix-Alola       ,  0.00031% ,69.0,  0.699% ,58.0,  0.744% 
 ,118.0, Magnemite          ,  0.00027% ,64.0,  0.648% ,46.0,  0.590% 
 ,119.0, Onix               ,  0.00023% ,46.0,  0.466% ,43.0,  0.551% 
 ,120.0, Kubfu              ,  0.00023% ,147.0,  1.489% ,87.0,  1.116% 
 ,121.0, Ponyta-Galar       ,  0.00021% ,26.0,  0.263% ,20.0,  0.256% 
 ,122.0, Kirlia             ,  0.00017% ,87.0,  0.881% ,60.0,  0.769% 
 ,123.0, Bronzor            ,  0.00016% ,54.0,  0.547% ,49.0,  0.628% 
 ,124.0, Clauncher          ,  0.00013% ,12.0,  0.122% ,8.0,  0.103% 
 ,125.0, Cosmoem            ,  0.00013% ,71.0,  0.719% ,57.0,  0.731% 
 ,126.0, Herdier            ,  0.00011% ,75.0,  0.760% ,55.0,  0.705% 
 ,127.0, Tirtouga           ,  0.00010% ,69.0,  0.699% ,56.0,  0.718% 
 ,128.0, Purrloin           ,  0.00010% ,10.0,  0.101% ,8.0,  0.103% 
 ,129.0, Happiny            ,  0.00008% ,22.0,  0.223% ,12.0,  0.154% 
 ,130.0, Anorith            ,  0.00006% ,36.0,  0.365% ,31.0,  0.398% 
 ,131.0, Sizzlipede         ,  0.00006% ,18.0,  0.182% ,13.0,  0.167% 
 ,132.0, Nincada            ,  0.00006% ,6.0,  0.061% ,5.0,  0.064% 
 ,133.0, Larvesta           ,  0.00006% ,38.0,  0.385% ,23.0,  0.295% 
 ,134.0, Karrablast         ,  0.00006% ,7.0,  0.071% ,5.0,  0.064% 
 ,135.0, Dewpider           ,  0.00006% ,28.0,  0.284% ,27.0,  0.346% 
 ,136.0, Corphish           ,  0.00004% ,24.0,  0.243% ,20.0,  0.256% 
 ,137.0, Diglett            ,  0.00004% ,20.0,  0.203% ,16.0,  0.205% 
 ,138.0, Hippopotas         ,  0.00003% ,84.0,  0.851% ,72.0,  0.923% 
 ,139.0, Treecko            ,  0.00003% ,28.0,  0.284% ,18.0,  0.231% 
 ,140.0, Loudred            ,  0.00003% ,19.0,  0.192% ,16.0,  0.205% 
 ,141.0, Wynaut             ,  0.00003% ,10.0,  0.101% ,8.0,  0.103% 
 ,142.0, Rockruff           ,  0.00003% ,2.0,  0.020% ,2.0,  0.026% 
 ,143.0, Noibat             ,  0.00002% ,10.0,  0.101% ,7.0,  0.090% 
 ,144.0, Espurr             ,  0.00002% ,1.0,  0.010% ,1.0,  0.013% 
 ,145.0, Gothita            ,  0.00002% ,1.0,  0.010% ,1.0,  0.013% 
 ,146.0, Cleffa             ,  0.00001% ,13.0,  0.132% ,10.0,  0.128% 
 ,147.0, Eevee              ,  0.00001% ,16.0,  0.162% ,14.0,  0.180% 
 ,148.0, Beldum             ,  0.00001% ,18.0,  0.182% ,15.0,  0.192% 
 ,149.0, Clobbopus          ,  0.00001% ,29.0,  0.294% ,18.0,  0.231% 
 ,150.0, Applin             ,  0.00001% ,32.0,  0.324% ,21.0,  0.269% 
 ,151.0, Hatenna            ,  0.00001% ,23.0,  0.233% ,17.0,  0.218% 
 ,152.0, Swinub             ,  0.00001% ,10.0,  0.101% ,5.0,  0.064% 
 ,153.0, Grookey            ,  0.00001% ,39.0,  0.395% ,31.0,  0.398% 
 ,154.0, Binacle            ,  0.00000% ,17.0,  0.172% ,11.0,  0.141% 
 ,155.0, Lombre             ,  0.00000% ,45.0,  0.456% ,37.0,  0.474% 
 ,156.0, Axew               ,  0.00000% ,26.0,  0.263% ,19.0,  0.244% 
 ,157.0, Dreepy             ,  0.00000% ,28.0,  0.284% ,21.0,  0.269% 
 ,158.0, Lotad              ,  0.00000% ,36.0,  0.365% ,32.0,  0.410% 
 ,159.0, Azurill            ,  0.00000% ,42.0,  0.425% ,34.0,  0.436% 
 ,160.0, Farfetch'd-Galar   ,  0.00000% ,43.0,  0.435% ,31.0,  0.398% 
 ,161.0, Bergmite           ,  0.00000% ,5.0,  0.051% ,3.0,  0.038% 
 ,162.0, Grubbin            ,  0.00000% ,3.0,  0.030% ,3.0,  0.038% 
 ,163.0, Magby              ,  0.00000% ,41.0,  0.415% ,34.0,  0.436% 
 ,164.0, Machop             ,  0.00000% ,30.0,  0.304% ,22.0,  0.282% 
 ,165.0, Bagon              ,  0.00000% ,23.0,  0.233% ,19.0,  0.244% 
 ,166.0, Joltik             ,  0.00000% ,24.0,  0.243% ,19.0,  0.244% 
 ,167.0, Zigzagoon-Galar    ,  0.00000% ,20.0,  0.203% ,19.0,  0.244% 
 ,168.0, Rolycoly           ,  0.00000% ,11.0,  0.111% ,11.0,  0.141% 
 ,169.0, Spritzee           ,  0.00000% ,43.0,  0.435% ,37.0,  0.474% 
 ,170.0, Diglett-Alola      ,  0.00000% ,23.0,  0.233% ,21.0,  0.269% 
 ,171.0, Darumaka-Galar     ,  0.00000% ,19.0,  0.192% ,15.0,  0.192% 
 ,172.0, Cufant             ,  0.00000% ,14.0,  0.142% ,12.0,  0.154% 
 ,173.0, Zigzagoon          ,  0.00000% ,17.0,  0.172% ,13.0,  0.167% 
 ,174.0, Scorbunny          ,  0.00000% ,13.0,  0.132% ,10.0,  0.128% 
 ,175.0, Squirtle           ,  0.00000% ,19.0,  0.192% ,12.0,  0.154% 
 ,176.0, Pichu              ,  0.00000% ,22.0,  0.223% ,16.0,  0.205% 
 ,177.0, Cottonee           ,  0.00000% ,41.0,  0.415% ,39.0,  0.500% 
 ,178.0, Togepi             ,  0.00000% ,22.0,  0.223% ,19.0,  0.244% 
 ,179.0, Deino              ,  0.00000% ,3.0,  0.030% ,2.0,  0.026% 
 ,180.0, Goomy              ,  0.00000% ,5.0,  0.051% ,3.0,  0.038% 
 ,181.0, Silicobra          ,  0.00000% ,6.0,  0.061% ,4.0,  0.051% 
 ,182.0, Solosis            ,  0.00000% ,3.0,  0.030% ,2.0,  0.026% 
 ,183.0, Sandile            ,  0.00000% ,3.0,  0.030% ,3.0,  0.038% 
 ,184.0, Cosmog             ,  0.00000% ,1.0,  0.010% ,0.0,  0.000% 
 ,185.0, Remoraid           ,  0.00000% ,16.0,  0.162% ,15.0,  0.192% 
 ,186.0, Charmander         ,  0.00000% ,14.0,  0.142% ,10.0,  0.128% 
 ,187.0, Buneary            ,  0.00000% ,2.0,  0.020% ,2.0,  0.026% 
 ,188.0, Growlithe          ,  0.00000% ,23.0,  0.233% ,18.0,  0.231% 
 ,189.0, Munna              ,  0.00000% ,1.0,  0.010% ,1.0,  0.013% 
 ,190.0, Dratini            ,  0.00000% ,21.0,  0.213% ,15.0,  0.192% 
 ,191.0, Nickit             ,  0.00000% ,1.0,  0.010% ,1.0,  0.013% 
 ,192.0, Pancham            ,  0.00000% ,5.0,  0.051% ,4.0,  0.051% 
 ,193.0, Mudkip             ,  0.00000% ,3.0,  0.030% ,2.0,  0.026% 
 ,194.0, Shellder           ,  0.00000% ,22.0,  0.223% ,13.0,  0.167% 
 ,195.0, Skorupi            ,  0.00000% ,11.0,  0.111% ,8.0,  0.103% 
 ,196.0, Chewtle            ,  0.00000% ,3.0,  0.030% ,1.0,  0.013% 
 ,197.0, Kabuto             ,  0.00000% ,5.0,  0.051% ,5.0,  0.064% 
 ,198.0, Feebas             ,  0.00000% ,3.0,  0.030% ,3.0,  0.038% 
 ,199.0, Bonsly             ,  0.00000% ,1.0,  0.010% ,1.0,  0.013% 
 ,200.0, Vanillish          ,  0.00000% ,6.0,  0.061% ,4.0,  0.051% 
 ,201.0, Meowth-Galar       ,  0.00000% ,6.0,  0.061% ,6.0,  0.077% 
 ,202.0, Sandshrew-Alola    ,  0.00000% ,7.0,  0.071% ,7.0,  0.090% 
 ,203.0, Bulbasaur          ,  0.00000% ,15.0,  0.152% ,11.0,  0.141% 
 ,204.0, Toxel              ,  0.00000% ,3.0,  0.030% ,0.0,  0.000% 
 ,205.0, Yamask             ,  0.00000% ,10.0,  0.101% ,10.0,  0.128% 
 ,206.0, Sobble             ,  0.00000% ,10.0,  0.101% ,7.0,  0.090% 
 ,207.0, Arrokuda           ,  0.00000% ,6.0,  0.061% ,5.0,  0.064% 
 ,208.0, Chinchou           ,  0.00000% ,5.0,  0.051% ,3.0,  0.038% 
 ,209.0, Igglybuff          ,  0.00000% ,1.0,  0.010% ,0.0,  0.000% 
 ,210.0, Popplio            ,  0.00000% ,5.0,  0.051% ,3.0,  0.038% 
 ,211.0, Darumaka           ,  0.00000% ,41.0,  0.415% ,32.0,  0.410% 
 ,212.0, Electrike          ,  0.00000% ,1.0,  0.010% ,0.0,  0.000% 
 ,213.0, Venipede           ,  0.00000% ,3.0,  0.030% ,2.0,  0.026% 
 ,214.0, Wimpod             ,  0.00000% ,1.0,  0.010% ,1.0,  0.013% 
 ,215.0, Tyrogue            ,  0.00000% ,6.0,  0.061% ,4.0,  0.051% 
 ,216.0, Mime Jr.           ,  0.00000% ,4.0,  0.041% ,3.0,  0.038% 
 ,217.0, Meowth-Alola       ,  0.00000% ,5.0,  0.051% ,3.0,  0.038% 
 ,218.0, Gible              ,  0.00000% ,41.0,  0.415% ,34.0,  0.436% 
 ,219.0, Litwick            ,  0.00000% ,4.0,  0.041% ,4.0,  0.051% 
 ,220.0, Litten             ,  0.00000% ,1.0,  0.010% ,1.0,  0.013% 
 ,221.0, Wooper             ,  0.00000% ,21.0,  0.213% ,15.0,  0.192% 
 ,222.0, Duskull            ,  0.00000% ,1.0,  0.010% ,1.0,  0.013% 
 ,223.0, Klink              ,  0.00000% ,1.0,  0.010% ,0.0,  0.000% 
 ,224.0, Tranquill          ,  0.00000% ,14.0,  0.142% ,10.0,  0.128% 
 ,225.0, Roggenrola         ,  0.00000% ,3.0,  0.030% ,3.0,  0.038% 
 ,226.0, Cubchoo            ,  0.00000% ,2.0,  0.020% ,0.0,  0.000% 
 ,227.0, Spheal             ,  0.00000% ,11.0,  0.111% ,11.0,  0.141% 
 ,228.0, Snom               ,  0.00000% ,4.0,  0.041% ,4.0,  0.051% 
 ,229.0, Smoochum           ,  0.00000% ,3.0,  0.030% ,3.0,  0.038% 
 ,230.0, Skwovet            ,  0.00000% ,2.0,  0.020% ,2.0,  0.026% 
 ,231.0, Combee             ,  0.00000% ,2.0,  0.020% ,2.0,  0.026% 
 ,232.0, Rowlet             ,  0.00000% ,1.0,  0.010% ,1.0,  0.013% 
 ,233.0, Sandshrew          ,  0.00000% ,11.0,  0.111% ,9.0,  0.115% 
 ,234.0, Inkay              ,  0.00000% ,15.0,  0.152% ,12.0,  0.154% 
 ,235.0, Larvitar           ,  0.00000% ,8.0,  0.081% ,7.0,  0.090% 
 ,236.0, Nidorina           ,  0.00000% ,14.0,  0.142% ,12.0,  0.154% 
 ,237.0, Rookidee           ,  0.00000% ,6.0,  0.061% ,6.0,  0.077% 
 ,238.0, Timburr            ,  0.00000% ,5.0,  0.051% ,3.0,  0.038% 
 ,239.0, Exeggcute          ,  0.00000% ,10.0,  0.101% ,7.0,  0.090% 
 ,240.0, Sinistea           ,  0.00000% ,26.0,  0.263% ,25.0,  0.321% 
 ,241.0, Barboach           ,  0.00000% ,7.0,  0.071% ,3.0,  0.038% 
 ,242.0, Golett             ,  0.00000% ,2.0,  0.020% ,2.0,  0.026% 
 ,243.0, Minccino           ,  0.00000% ,3.0,  0.030% ,2.0,  0.026% 
 ,244.0, NidoranM           ,  0.00000% ,2.0,  0.020% ,1.0,  0.013% 
 ,245.0, Elgyem             ,  0.00000% ,3.0,  0.030% ,3.0,  0.038% 
 ,246.0, Fomantis           ,  0.00000% ,1.0,  0.010% ,1.0,  0.013% 
 ,247.0, Budew              ,  0.00000% ,3.0,  0.030% ,3.0,  0.038% 
 ,248.0, Morelull           ,  0.00000% ,1.0,  0.010% ,1.0,  0.013% 
 ,249.0, Zubat              ,  0.00000% ,5.0,  0.051% ,4.0,  0.051% 
 ,250.0, Caterpie           ,  0.00000% ,10.0,  0.101% ,9.0,  0.115% 
 ,251.0, Steenee            ,  0.00000% ,24.0,  0.243% ,22.0,  0.282% 
 ,252.0, Fletchling         ,  0.00000% ,9.0,  0.091% ,7.0,  0.090% 
 ,253.0, Jangmo-o           ,  0.00000% ,5.0,  0.051% ,5.0,  0.064% 
 ,254.0, Honedge            ,  0.00000% ,36.0,  0.365% ,30.0,  0.385% 
 ,255.0, Snover             ,  0.00000% ,15.0,  0.152% ,15.0,  0.192% 
 ,256.0, Snorunt            ,  0.00000% ,3.0,  0.030% ,1.0,  0.013% 
 ,257.0, Baltoy             ,  0.00000% ,3.0,  0.030% ,0.0,  0.000% 
 ,258.0, Rhyhorn            ,  0.00000% ,6.0,  0.061% ,5.0,  0.064% 
 ,259.0, Yamask-Galar       ,  0.00000% ,6.0,  0.061% ,6.0,  0.077% 
 ,260.0, Torchic            ,  0.00000% ,14.0,  0.142% ,13.0,  0.167% 
 ,261.0, Oddish             ,  0.00000% ,1.0,  0.010% ,0.0,  0.000% 
 ,262.0, Wooloo             ,  0.00000% ,4.0,  0.041% ,4.0,  0.051% 
 ,263.0, Milcery            ,  0.00000% ,4.0,  0.041% ,1.0,  0.013% 
 ,264.0, Riolu              ,  0.00000% ,26.0,  0.263% ,20.0,  0.256% 
 ,265.0, Hoothoot           ,  0.00000% ,6.0,  0.061% ,2.0,  0.026% 
 ,266.0, Wingull            ,  0.00000% ,4.0,  0.041% ,2.0,  0.026% 
 ,267.0, Foongus            ,  0.00000% ,5.0,  0.051% ,4.0,  0.051% 
 ,268.0, Staryu             ,  0.00000% ,6.0,  0.061% ,5.0,  0.064% 
